Code,Name,U_Status,U_Address,U_ComCode,U_ComName,WarehouseHO,RegionCode,RegionName,AreaCode,AreaName,Provinces,Xvalue,Yvalue,ShopType
31210,DNI 475 Lý Thái Tổ,A,"Số 475 Lý Thái Tổ, Ấp Bến Cam, Xã Phước Thiền, H. Nhơn Trạch, Tỉnh Đồng Nai. Việt Nam",090817,CHI NHÁNH ĐỒNG NAI - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00205,Miền Đông Nam Bộ,00144,Miền Đông NB 1,Đồng Nai,10.757555,106.924553,D
31211,TNH 1089 Cách Mạng Tháng Tám,A,"Số 1089-1091 Cách Mạng Tháng Tám, Khu Phố Hiệp Bình, P. Hiệp Ninh, Tỉnh Tây Ninh, Việt Nam",090823,CHI NHÁNH TÂY NINH - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00205,Miền Đông Nam Bộ,00382,Miền Đông NB 6,Tây Ninh,11.306357,106.126004,D
31212,BAR 240 Hùng Vương,A,"Số 240 Hùng Vương, Thị trấn Ngãi Giao, Huyện Châu Đức, Tỉnh Bà Rịa Vũng Tàu",090818,CHI NHÁNH VŨNG TÀU - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00205,Miền Đông Nam Bộ,00452,Miền Đông NB 7,Bà Rịa,10.648092,107.246170,D
31213,BAR Tổ 2 Ấp Phước Lập,A,"Tổ 2, Ấp Phước Lập, Khu công nghiệp Mỹ Xuân B1, Xã Mỹ Xuân, H. Tân Thành, Bà Rịa Vũng Tàu",090818,CHI NHÁNH VŨNG TÀU - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00205,Miền Đông Nam Bộ,00206,Miền Đông NB 3,Bà Rịa,10.634761,107.048074,C
31214,HCM 16/2 Âu Cơ,A,"16/2 Âu Cơ, P.9, Q. Tân Bình, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00178,Hồ Chí Minh-KV5,Hồ Chí Minh,10.774856,106.648213,D
31215,HCM 46 Nguyễn Ảnh Thủ,A,"46 Nguyễn Ảnh Thủ, P. Tân Chánh Hiệp, Q. 12, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00065,Hồ Chí Minh-KV2,Hồ Chí Minh,10.879491,106.636027,D
31217,HCM 1185 Tỉnh Lộ 8 Củ Chi,A,"Số 1185 Tỉnh Lộ 8, Ấp Thạnh An, Xã Trung An, H. Củ Chi, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00072,Hồ Chí Minh-KV3,Hồ Chí Minh,10.983816,106.576718,B
31218,HCM 480 Lê Trọng Tấn,A,"478A-480 Lê Trọng Tấn, P. Tây Thạnh, Q. Tân Phú, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00458,Hồ Chí Minh-KV8,Hồ Chí Minh,10.811887,106.610175,B
31219,HCM 141 Trần Não,A,"141 Trần Não, Khu phố 3, Phường Bình An, Quận 2, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00043,Hồ Chí Minh-KV1,Hồ Chí Minh,10.791850,106.730634,A
31221,HCM 404 Nguyễn Oanh,A,"404-404A-404B-404C-404D Nguyễn Oanh, P.6, Q. Gò Vấp, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00269,Hồ Chí Minh-KV7,Hồ Chí Minh,10.84294,106.676909,C
31222,HCM 197 Thống Nhất,A,"197 Thống Nhất, P.11, Q. Gò Vấp, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00269,Hồ Chí Minh-KV7,Hồ Chí Minh,10.835715,106.664518,B
31223,BDG 91-93 Thống Nhất,A,"91-93 Thống Nhất, khu phố 2, Thị Trấn Dầu Tiếng, H. Dầu Tiếng, Tỉnh Bình Dương",090811,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI BÌNH DƯƠNG,11000,00205,Miền Đông Nam Bộ,00382,Miền Đông NB 6,Bình Dương,11.276255,106.359667,C
31224,HCM 131 Quốc Lộ 13 - Thủ Đức,A,"131A-133-135 Quốc Lộ 13, Tổ 3, Khu phố 1, P. Hiệp Bình Chánh, Q. Thủ Đức, TP. Hồ Chí Minh",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00158,Hồ Chí Minh-KV4,Hồ Chí Minh,10.830254,106.714364,D
31225,HCM 598 Tỉnh Lộ 10,A,"598 Tỉnh Lộ 10, Khu phố 16, P. Bình Trị Đông, Q. Bình Tân, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00065,Hồ Chí Minh-KV2,Hồ Chí Minh,10.757921,106.614071,D
31226,HCM 469 Bạch Đằng,A,"469 Bạch Đằng, P.2, Q. Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00228,Hồ Chí Minh-KV6,Hồ Chí Minh,10.803037,106.699801,B
31228,HCM 51-53-55 Lê Văn Khương,A,"51-53-55 Lê Văn Khương, P. Hiệp Thành, Q. 12, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00269,Hồ Chí Minh-KV7,Hồ Chí Minh,10.865207,106.649490,C
31229,HCM 1206 Kha Vạn Cân,A,"1206 Kha Vạn Cân, Khu phố 2, P. Linh Trung, Q. Thủ Đức, TP Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00158,Hồ Chí Minh-KV4,Hồ Chí Minh,10.858426,106.758866,C
30335,NBH 718 Nguyễn Công Trứ,A,"718 Nguyễn Công Trứ, Phường Ninh Sơn, TP. Ninh Bình, Tỉnh Ninh Bình, Việt Nam",090328,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT NINH BÌNH,11001,00003,Miền Bắc 2,00174,Miền Bắc 2-KV3,Ninh Bình,20.244103,105.994701,D
30336,NDH 209 Hàn Thuyên,A,"209 Hàn Thuyên, P. Hoàng Vị, TP. Nam Định, Tỉnh Nam Định, Việt Nam",090348,CHI NHÁNH NAM ĐỊNH - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00003,Miền Bắc 2,00173,Miền Bắc 2-KV2,Nam Định,20.438568,106.185558,D
30513,DLK 53 Nguyễn Tất Thành,A,"Số 53 Nguyễn Tất Thành, P. Tân An, TP. Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",090509,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI ĐẮK LẮK,11000,00005,Miền Trung,00626,Miền Trung-KV10,Dak Lak,12.688481,108.057181,C
30955,DTP Khóm 2 Tràm Chim,A,"Khóm 2, Thị trấn Tràm Chim, H. Tam Nông, Tỉnh Đồng Tháp, Việt Nam",090930,CHI NHÁNH ĐỒNG THÁP - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00204,Miền Tây Nam Bộ,00167,Miền Tây NB 2,Đồng Tháp,10.671067,105.560234,D
11001,HNI-HO,A,"Lô B7.1.3 Khu Công nghiệp Nam Thăng Long, P. Liên Mạc, Q. Bắc Từ Liêm, TP. Hà Nội",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00240,Hà Nội - KVBO,Hà Nội,21.031657,105.773955,NULL
30957,KGG Căn 15 Trần Quang Khải,A,"Lô L04- Căn 15, đường Trần Quang Khải, Phường An Hòa, TP. Rạch Giá, Tỉnh Kiên Giang, Việt Nam",090925,CHI NHÁNH KIÊN GIANG - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00204,Miền Tây Nam Bộ,00386,Miền Tây NB 7,Kiên Giang,9.983955,105.101828,B
11000,HCM-HO,A,"379 Thoại Ngọc Hầu, phường Hiệp Tân, Quận Tân Phú, TP.HCM, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00241,Hồ Chí Minh-KVBO,Hồ Chí Minh,10.774533,106.623012,NULL
30282,HDG 103 Quốc Lộ 5,A,"Số 103 Quốc Lộ 5, Thị trấn Phú Thái, H. Kim Thành, Tỉnh Hải Dương, Việt Nam",090203,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HẢI DƯƠNG,11001,00003,Miền Bắc 2,00403,Miền Bắc 2-KV8,Hải Dương,20.964616,106.515431,D
30283,HNI Số 1 Vĩnh Hưng,A,"Số 1 đường Vĩnh Hưng, Quận Hoàng Mai, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00036,Hà Nội-KV1,Hà Nội,20.983763,105.875079,B
30337,HPG 471 Lương Khánh Thiện,A,"471 Lương Khánh Thiện, TT Trường Sơn, H. An Lão, TP Hải Phòng, Việt Nam",090306,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HẢI PHÒNG,11001,00003,Miền Bắc 2,00403,Miền Bắc 2-KV8,Hải Phòng,20.813888,106.597537,D
30338,QNH 88 Đường 334 Cái Rồng,A,"Số 88, đường 334, khu 4, TT Cái Rồng, H. Vân Đồn, Tỉnh Quảng Ninh, Việt Nam",090307,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI QUẢNG NINH,11001,00002,Miền Bắc 1,00188,Miền Bắc 1-KV5,Quảng Ninh,21.072466,107.422241,D
30514,DLK 164 Hùng Vương,A,"164 Hùng Vương, P. An Ninh, Thị xã Buôn Hồ, Tỉnh Đắk Lắk, Việt Nam",090509,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI ĐẮK LẮK,11000,00005,Miền Trung,00626,Miền Trung-KV10,Dak Lak,12.916204,108.265294,D
31230,BDG 25/6 Thắng Lợi 2,A,"Số 25/06/ Khu phố Thắng Lợi 2, P. Dĩ An, TX Dĩ An, Tỉnh Bình Dương, Việt Nam",090811,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI BÌNH DƯƠNG,11000,00205,Miền Đông Nam Bộ,00179,Miền Đông NB 2,Bình Dương,10.907236,106.758387,D
31231,BPC 243A Quốc Lộ 13,A,"243A Quốc Lộ 13, Khu phố Ninh Thịnh, TT Lộc Ninh, H. Lộc Ninh, Tỉnh Bình Phước, Việt Nam",090847,CHI NHÁNH BÌNH PHƯỚC - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00205,Miền Đông Nam Bộ,00144,Miền Đông NB 1,Bình Phước,11.849798,106.588148,C
30132,PTO 52 Phố Đồng Tâm,A,"Số 52 phố Đồng Tâm, thị trấn Đoan Hùng, H. Đoan Hùng, Tỉnh Phú Thọ, Việt Nam",090126,CHI NHÁNH PHÚ THỌ - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00002,Miền Bắc 1,00442,Miền Bắc 1-KV10,Phú Thọ,21.621684,105.187255,C
30133,TNN FFSS Phổ Yên,A,"131-133 Tiểu Khu 2, Thị trấn Ba Hàng, huyện Phổ Yên, Tỉnh Thái Nguyên",090112,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI THÁI NGUYÊN,11001,00002,Miền Bắc 1,00192,Miền Bắc 1-KV6,Thái Nguyên,21.415963,105.871666,NULL
30339,QNH 459 Cầu Đất,A,"Số 459 tổ Cầu Đất, Khu Trạo Hà, P. Đức Chính, Thị xã Đông Triều, Tỉnh Quảng Ninh, Việt Nam",090307,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI QUẢNG NINH,11001,00002,Miền Bắc 1,00188,Miền Bắc 1-KV5,Quảng Ninh,21.078675,106.517573,D
30448,THA Minh Thanh - Minh Lộc,A,"Thôn Minh Thanh, Xã Minh Lộc, H. Hậu Lộc, Tỉnh Thanh Hóa, Việt Nam",090405,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI THANH HÓA,11001,00003,Miền Bắc 2,00173,Miền Bắc 2-KV2,Thanh Hóa,19.926507,105.950755,D
30449,THA Số 3 Cành Nàng-Bá Thước,A,"Số 3 thị trấn Cành Nàng, Huyện Bá Thước, Tỉnh Thanh Hóa, Việt Nam",090405,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI THANH HÓA,11001,00003,Miền Bắc 2,00210,Miền Bắc 2-KV5,Thanh Hóa,20.349214,105.225651,D
